Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1.69401209656037,1.87227865408457,1.88168571489141,1.75966479918051,1.7318663998134,1.68545451133272,1.73222898546904,1.7685344747922,1.82990465003545,2.11676255696663,1.97264585962528,1.99413046008173,1.9666447132591,2.02321454993783,2.32099093561349,2.45665638211302,2.62087330472222,2.61721050236399,2.2870441164928,2.1669293514577,2.18927505278073,2.1034026467713,1.98632087875375
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Middle income,MIC,1.95187069701078,1.93325166103948,1.87201196381706,1.94259140223671,1.97053934510787,2.00780637274547,2.05779419991638,2.08734893191309,2.20934534775606,2.46250665295959,2.39524433556926,2.43741557543339,2.49555275788445,2.579584278139,2.64936988103566,2.76869242708519,2.72824933294332,2.71714304572428,2.67133281596934,2.68546112089047,2.86832988437067,2.79943266852686,2.97462291803326
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,North America,NAC,5.57432881719887,5.98860639040475,6.33184880376933,6.52866318897425,6.61065741513218,6.62760936056038,6.78308033147028,6.88197809158212,7.17259845531156,7.84185934949063,7.88686222941555,7.86688834183494,7.82997246594751,7.85046091830508,8.11264633551289,8.36770756818577,8.49523260792436,8.45827200127045,8.45034812152076,8.52794622730294,10.4730178808211,9.5725899192324,9.02106344428659
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,OECD members,OED,5.522241504825,5.79293279761396,6.02878180592016,6.20444626347421,6.25551612103351,6.28355958751507,6.32293541334018,6.35144604181189,6.59275857965858,7.23465385650355,7.18093993451026,7.2980141279377,7.31831576759432,7.2891078643376,7.41833439727588,7.56384618105305,7.66229555604186,7.62003932456964,7.62440618395528,7.73977210135021,9.0785990849686,8.72490015678572,8.27686282892313
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Other small states,OSS,3.62623452989333,3.53258835639765,3.78692029738856,3.87727648111353,3.79621342453123,3.84073107162598,3.66040589768646,3.70106813934773,3.69519214818116,3.94330953850722,3.83924869482819,3.71309272518228,3.74589817992685,3.85557306140179,3.93835398927758,4.12217529788597,4.2691208452193,4.24390441134724,4.28660950564146,4.52123612868958,5.6125399288348,5.62319039513836,5.20629968883482
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Pacific island small states,PSS,3.4047898485281,3.23668866677237,3.19670650841975,3.09181344064128,2.92487323601162,3.18873261563498,3.14869095569941,3.12515553795858,2.83105144196065,2.83279947496594,2.78702867968333,2.64798058081592,2.66987525306198,2.66510944267158,2.70156003788282,2.79106992550312,2.81888620031453,2.80308462936439,3.0697583241876,3.30388329361075,3.62541000803985,3.82705500133883,3.73884081191518
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Post-demographic dividend,PST,5.67062545079003,5.94524588882682,6.18531739881485,6.35070891326299,6.40180406148087,6.45430249071676,6.50263398745832,6.53437625470186,6.77546895459197,7.41199322797759,7.38629874375888,7.52352691413947,7.5524600647665,7.53092298183279,7.68583709041063,7.84229840171131,7.92802197478171,7.88780473576598,7.88326751895198,8.00233950146909,9.39260789363194,9.02751884113727,8.60141438263877
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Pre-demographic dividend,PRE,0.762713406195766,0.9729361492106,0.837379293729659,1.04428430548456,1.30715395919214,1.2151766830979,1.10986460684308,1.16221888730429,1.21509655150854,1.30100059290555,1.07421765910142,1.04611145576623,0.895255937378373,0.899375364982588,0.868543070979317,0.861242928729823,1.14244410623161,1.05956777510845,1.0785471043735,1.01766732696222,1.18365168894212,1.20577860564699,1.15059318209399
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Small states,SST,2.99453801238955,2.94306731089733,3.15042236919421,3.27069851941695,3.24924085029758,3.30333853847511,3.13216693083592,3.1856270535795,3.13789023644989,3.46523470274977,3.35519459178945,3.27505178752281,3.27598940377778,3.38590247168547,3.42737600385757,3.60779481094837,3.8120088209034,3.87891445041226,3.8994784045878,4.09094171735636,5.02943624955905,4.98295839343789,4.48971737242917
